created_on,device_type,id,operating_system
2016-08-25 07:27:02.200,Android,196,Lollipop
2016-01-31 11:56:35.400,Android,197,Lollipop
2015-01-31 20:38:32.700,Android,198,Jawbreaker
2016-02-11 03:33:14.400,iOS,199,10
2017-02-16 09:07:52.100,Amazon Fire,200,Inferno
2016-03-20 11:21:27.300,Android,201,Lollipop
2016-10-19 03:21:34.200,Android,202,Marshmallow
2016-07-08 19:43:56.200,Android,203,Jawbreaker
2016-11-09 01:54:25.100,iOS,204,7
2016-08-14 23:34:27.200,iOS,205,9
2015-11-21 19:20:08.400,Amazon Fire,206,Fire1
2016-01-06 13:33:56.400,Android,207,KitKat
2016-07-02 05:04:39.200,iOS,208,20
2016-11-13 05:50:15.100,iOS,209,9
2017-02-14 07:38:29.100,Amazon Fire,210,Inferno
2016-06-28 06:21:16.200,iOS,211,9
2016-09-23 03:43:22.200,iOS,212,8
2016-01-18 02:16:48.400,iOS,213,9
2015-12-13 00:53:08.400,Android,214,Jawbreaker
2013-12-09 17:01:09.000,iOS,215,20
2016-12-10 01:42:35.100,Android,216,Lollipop
2016-09-14 11:30:02.200,iOS,217,20
2016-12-05 07:37:18.100,iOS,218,9
2016-03-01 23:13:08.300,iOS,219,7
2017-01-10 22:06:51.100,iOS,220,9
2014-05-26 10:23:34.900,Android,221,KitKat
2016-02-04 05:10:16.400,iOS,222,20
2017-01-31 10:05:20.100,iOS,223,7
2016-11-12 07:52:45.100,Android,224,Jawbreaker
2016-11-03 08:00:26.100,iOS,225,8
2016-09-13 04:49:56.200,iOS,226,7
2016-03-26 21:40:42.300,iOS,227,7
2013-12-06 07:42:44.000,Amazon Fire,228,Inferno
2016-12-15 07:23:15.100,iOS,229,7
2017-01-06 16:00:19.100,iOS,230,10
2014-04-12 16:32:50.900,iOS,231,20
2016-09-30 06:38:05.200,Amazon Fire,232,Fire1
2015-11-20 18:48:34.400,Android,233,Marshmallow
2016-10-14 17:35:38.200,iOS,234,7
2016-10-14 17:51:04.200,iOS,235,8
2017-02-14 16:24:35.100,Android,236,Marshmallow
2015-05-27 08:29:37.600,iOS,237,8
2016-12-03 23:12:25.100,Android,238,Jawbreaker
2015-08-13 17:58:20.500,Android,239,Marshmallow
2016-12-28 02:16:29.100,Amazon Fire,240,Fire1
2017-02-28 02:50:09.100,Android,241,Lollipop
2016-12-05 20:53:13.100,Android,242,Marshmallow
2015-01-04 05:18:11.700,iOS,243,8
2017-02-06 13:17:46.100,Android,244,Jawbreaker
2017-02-25 13:02:13.100,Android,245,KitKat
2016-09-20 12:07:00.200,iOS,246,10
2017-02-16 04:30:34.100,Amazon Fire,247,Fire2
2016-05-24 15:31:39.300,Android,248,Jawbreaker
2016-02-04 18:35:17.400,iOS,249,10
2016-09-03 13:15:09.200,Android,250,Marshmallow
2016-03-02 05:22:33.300,iOS,251,20
2016-01-23 05:59:31.400,Android,252,Marshmallow
2016-06-10 01:00:26.300,Android,253,Lollipop
2015-10-27 15:11:15.400,Amazon Fire,254,Fire2
2015-10-31 13:31:31.400,Android,255,Lollipop
2016-05-26 21:57:46.300,Android,256,Jawbreaker
2016-03-24 23:36:59.300,Android,257,KitKat
2016-02-12 05:26:28.400,iOS,258,7
2016-02-02 12:19:16.400,iOS,259,7
2017-02-10 00:58:00.100,Android,260,KitKat
2016-01-02 18:36:18.400,iOS,261,20
2016-09-02 18:16:16.200,iOS,262,7
2016-05-07 17:46:39.300,Android,263,KitKat
2015-03-31 13:09:51.600,Android,264,Jawbreaker
2016-07-24 15:29:42.200,iOS,265,8
2017-01-04 08:02:51.100,Android,266,Lollipop
2016-02-25 08:13:57.300,Android,267,Jawbreaker
2016-12-15 05:37:19.100,Amazon Fire,268,Fire1
2016-08-29 10:42:13.200,Android,269,KitKat
2016-09-01 17:26:10.200,Android,270,Lollipop
2016-10-19 23:10:36.200,iOS,271,8
2016-07-15 10:41:26.200,Amazon Fire,272,Fire2
2016-06-30 16:37:36.200,Android,273,KitKat
2016-06-08 12:41:48.300,iOS,274,8
2016-06-28 09:16:34.200,Amazon Fire,275,Inferno
2016-01-28 22:07:59.400,Amazon Fire,276,Inferno
2015-01-27 13:51:20.700,Android,277,Lollipop
2016-03-30 07:05:04.300,Amazon Fire,278,Fire1
2016-12-13 06:50:23.100,iOS,279,7
2016-05-19 05:29:28.300,iOS,280,7
2016-02-16 00:24:14.400,Android,281,Lollipop
2017-01-02 17:59:27.100,iOS,282,20
2016-09-29 01:09:04.200,iOS,283,8
2016-01-29 16:57:15.400,iOS,284,8
2016-06-04 20:52:27.300,Android,285,Marshmallow
2015-10-31 03:51:41.400,iOS,286,8
2015-01-07 07:19:06.700,Android,287,Jawbreaker
2016-03-06 14:35:07.300,Android,288,KitKat
2017-01-03 20:54:07.100,iOS,289,20
2014-04-29 16:26:38.900,iOS,290,8
2017-01-12 17:45:51.100,Android,291,Jawbreaker
2016-10-29 14:01:21.100,iOS,292,10
2016-10-14 08:59:32.200,iOS,293,9
2015-06-05 23:26:43.600,iOS,294,9
2016-08-17 22:50:45.200,Android,295,KitKat
2015-12-24 01:09:38.400,iOS,296,10
2016-10-10 17:34:15.200,iOS,297,20
2015-07-27 11:58:18.500,Android,298,KitKat
2016-10-31 23:46:47.100,iOS,299,7
2016-08-14 20:11:00.200,iOS,300,8
2017-02-28 08:37:29.100,iOS,301,7
2016-08-08 00:38:53.200,Android,302,Marshmallow
2014-05-02 21:01:27.900,Android,303,KitKat
2016-11-04 18:08:54.100,iOS,304,20
2016-08-04 14:58:46.200,Android,305,Jawbreaker
2016-10-02 06:35:46.200,iOS,306,7
2016-11-17 02:49:36.100,iOS,307,20
2016-02-27 07:49:38.300,iOS,308,10
2017-01-25 04:46:41.100,Android,309,Jawbreaker
2015-07-12 11:32:17.500,iOS,310,8
2015-01-03 11:44:14.700,iOS,311,20
2017-02-17 04:57:57.100,Android,312,Marshmallow
2015-12-23 09:39:57.400,iOS,313,10
2016-02-14 06:29:31.400,Android,314,Marshmallow
2016-11-29 19:58:21.100,Android,315,KitKat
2016-05-27 07:13:35.300,Amazon Fire,316,Fire1
2015-09-08 06:02:42.500,iOS,317,7
2017-02-27 20:51:04.100,iOS,318,8
2015-09-15 22:37:06.500,iOS,319,8
2017-02-17 18:59:44.100,Android,320,Lollipop
2016-07-14 11:11:39.200,iOS,321,9
2017-02-12 03:56:06.100,Android,322,Lollipop
2017-01-05 22:49:52.100,Android,323,Lollipop
2017-02-03 09:42:41.100,iOS,324,9
2016-11-07 20:18:38.100,iOS,325,10
2016-10-07 18:54:39.200,iOS,326,20
2016-10-11 18:53:01.200,Android,327,Jawbreaker
2016-10-03 20:40:00.200,Android,328,Marshmallow
2016-09-01 02:39:18.200,Android,329,Jawbreaker
2016-05-17 19:19:31.300,iOS,330,7
2015-11-30 11:00:53.400,Android,331,Lollipop
2016-06-02 06:08:03.300,iOS,332,8
2016-02-18 02:02:05.400,iOS,333,7
2016-06-08 21:59:11.300,iOS,334,7
2015-07-30 09:50:47.500,Android,335,KitKat
2016-12-27 02:26:52.100,iOS,336,20
2016-11-06 08:26:19.100,iOS,337,9
2015-11-23 22:44:07.400,iOS,338,10
2016-06-24 22:56:55.200,Android,339,KitKat
2015-03-12 20:32:52.600,Android,340,Jawbreaker
2016-07-27 07:34:57.200,Android,341,Lollipop
2017-02-05 03:46:59.100,Android,342,Marshmallow
2016-11-18 13:14:29.100,iOS,343,10
2014-10-16 22:53:21.700,iOS,344,7
2016-11-02 09:09:08.100,iOS,345,7
2016-10-30 08:37:55.100,iOS,346,9
2017-01-14 15:11:57.100,Android,347,KitKat
2017-02-10 06:32:23.100,iOS,348,20
2016-12-12 04:26:28.100,iOS,349,10
2017-02-03 18:53:31.100,Android,350,KitKat
2016-12-26 12:27:00.100,Android,351,KitKat
2015-05-12 23:17:09.600,Android,352,Jawbreaker
2015-02-17 23:36:22.600,iOS,353,7
2014-08-12 08:29:22.800,Android,354,Marshmallow
2015-03-06 15:44:02.600,iOS,355,10
2015-12-01 05:27:12.400,iOS,356,7
2015-06-22 14:25:43.500,Android,357,Jawbreaker
2016-04-01 12:55:44.300,iOS,358,10
2016-08-16 03:26:06.200,Android,359,Lollipop
2015-11-10 14:10:48.400,ActivehoursOS,360,BestOSEver!
2015-10-17 17:10:44.500,iOS,361,10
2016-08-15 10:41:06.200,iOS,362,8
2016-09-24 04:54:28.200,Android,363,Jawbreaker
2016-03-22 03:59:29.300,iOS,364,10
2015-05-22 10:57:44.600,iOS,365,7
2016-05-26 13:04:05.300,Android,366,Marshmallow
2015-10-29 07:56:26.400,Amazon Fire,367,Fire2
2016-03-15 05:15:59.300,Android,368,Marshmallow
2015-11-19 12:11:15.400,Android,369,Marshmallow
2017-01-18 19:33:06.100,Amazon Fire,370,Fire1
2015-08-11 13:57:28.500,Android,371,Jawbreaker
2016-08-05 16:36:53.200,Android,372,KitKat
2016-06-18 21:11:21.300,Android,373,Jawbreaker
2017-01-20 16:30:21.100,Amazon Fire,374,Fire1
2014-08-24 05:00:10.800,Android,375,Marshmallow
2016-04-20 02:29:27.300,iOS,376,7
2016-07-20 00:03:00.200,Android,377,Lollipop
2015-03-27 19:15:53.600,iOS,378,8
2016-03-24 23:02:30.300,iOS,379,9
2013-10-29 01:18:35.000,Android,380,Lollipop
2016-08-30 12:27:48.200,iOS,381,10
2017-01-19 05:46:15.100,Amazon Fire,382,Inferno
2016-11-12 19:29:37.100,Android,383,Lollipop
2016-10-19 06:11:31.200,Android,384,Lollipop
2017-01-06 06:38:57.100,iOS,385,7
2017-01-06 16:15:00.100,Android,386,KitKat
2016-10-04 06:39:48.200,Android,387,Lollipop
2016-10-08 08:01:32.200,iOS,388,9
2015-11-04 19:06:20.400,Android,389,Jawbreaker
2016-12-12 19:44:07.100,Android,390,Jawbreaker
2017-01-09 06:05:31.100,Android,391,KitKat
2016-04-12 12:14:42.300,iOS,392,8
2016-01-06 06:09:43.400,iOS,393,8
2017-01-29 07:46:49.100,Android,394,Lollipop
2017-02-08 02:22:23.100,Android,395,Jawbreaker
2016-06-08 20:05:32.300,iOS,396,7
2014-12-04 10:37:42.700,Android,397,Lollipop
2015-09-28 09:08:27.500,iOS,398,10
2017-02-24 18:27:43.100,Amazon Fire,399,Fire2
2016-09-24 05:35:49.200,Android,400,KitKat
2016-01-02 06:19:52.400,iOS,401,10
2016-10-28 20:23:14.100,iOS,402,7
2017-01-27 07:02:11.100,Android,403,Marshmallow
2016-03-24 05:07:31.300,iOS,404,10
2017-01-23 03:58:11.100,iOS,405,20
2016-12-11 06:15:18.100,iOS,406,7
2016-04-24 23:44:16.300,Android,407,Jawbreaker
2016-09-11 03:44:58.200,Android,408,Lollipop
2016-08-23 21:08:19.200,Android,409,Jawbreaker
2015-12-17 07:54:30.400,Amazon Fire,410,Fire1
2015-10-29 16:49:49.400,Android,411,Marshmallow
2015-02-17 04:16:15.600,iOS,412,7
2016-08-20 23:57:53.200,Android,413,Jawbreaker
2016-10-22 01:17:52.200,Android,414,Jawbreaker
2016-12-05 11:31:10.100,Android,415,KitKat
2015-11-17 07:35:03.400,iOS,416,8
2017-02-08 13:04:14.100,iOS,417,20
2016-03-05 09:33:58.300,iOS,418,9
2017-01-17 16:46:37.100,Android,419,Jawbreaker
2016-10-14 06:00:19.200,Android,420,Marshmallow
2015-07-11 05:44:24.500,Android,421,Jawbreaker
2015-12-07 21:54:45.400,iOS,422,10
2016-12-16 15:52:40.100,Android,423,Lollipop
2015-12-30 13:14:21.400,Android,424,KitKat
2016-12-22 00:59:28.100,Amazon Fire,425,Fire2
2016-12-16 05:06:24.100,iOS,426,7
2017-01-11 05:20:54.100,Android,427,KitKat
2016-12-05 05:30:39.100,Android,428,Lollipop
2017-02-06 00:24:45.100,Android,429,Jawbreaker
2015-06-14 14:54:41.600,Android,430,Lollipop
2015-11-22 12:19:09.400,iOS,431,7
2016-03-11 01:37:42.300,Amazon Fire,432,Fire1
2016-03-26 02:43:51.300,Android,433,KitKat
2016-12-26 06:59:50.100,Android,434,KitKat
2017-02-18 17:06:27.100,Amazon Fire,435,Inferno
2015-07-29 08:41:43.500,Android,436,KitKat
2015-11-23 19:30:15.400,iOS,437,8
2015-03-14 14:12:31.600,Android,438,Jawbreaker
2015-10-27 20:28:41.400,iOS,439,20
2015-07-12 12:13:10.500,iOS,440,8
2016-12-14 22:54:21.100,Android,441,Marshmallow
2016-12-26 02:00:50.100,iOS,442,20
2015-12-15 05:29:57.400,iOS,443,10
2016-08-15 20:43:32.200,Android,444,Lollipop
2017-01-31 23:45:43.100,iOS,445,10
2016-11-24 08:30:30.100,iOS,446,9
2015-02-07 03:51:44.700,Android,447,Jawbreaker
2016-11-30 12:05:18.100,Android,448,KitKat
2014-10-17 18:19:18.700,iOS,449,8
2016-03-12 04:21:02.300,iOS,450,8
2017-01-20 09:23:21.100,Amazon Fire,451,Inferno
2016-11-10 02:24:55.100,Android,452,Lollipop
2016-09-04 06:45:43.200,Android,453,Marshmallow
2016-09-12 11:17:21.200,Android,454,Marshmallow
2016-11-07 18:39:43.100,iOS,455,10
2014-08-26 14:53:08.800,iOS,456,7
2015-12-08 08:32:47.400,iOS,457,9
2016-07-03 12:07:11.200,Android,458,KitKat
2015-08-26 02:50:17.500,iOS,459,7
2017-02-01 01:07:23.100,iOS,460,10
2015-10-25 13:19:03.400,Android,461,Lollipop
2014-10-30 14:20:21.700,Amazon Fire,462,Inferno
2015-10-09 19:51:49.500,iOS,463,7
2015-01-11 08:12:58.700,iOS,464,7
2016-04-14 23:30:35.300,Android,465,KitKat
2016-12-09 05:10:27.100,Android,466,KitKat
2013-12-30 01:10:56.000,iOS,467,20
2014-11-05 00:24:21.700,iOS,468,9
2016-12-01 22:21:32.100,Android,469,KitKat
2015-02-14 01:33:10.600,Amazon Fire,470,Inferno
2017-02-17 10:43:04.100,Android,471,Jawbreaker
2016-10-28 13:40:32.100,Android,472,Lollipop
2016-04-01 02:02:39.300,Amazon Fire,473,Fire1
2016-05-02 20:55:05.300,iOS,474,8
2017-02-19 20:45:05.100,iOS,475,8
2015-11-12 13:22:38.400,Android,476,KitKat
2017-01-16 22:32:28.100,Android,477,Marshmallow
2014-04-13 04:19:57.900,Amazon Fire,478,Inferno
2016-07-26 13:18:46.200,Amazon Fire,479,Inferno
2017-02-07 08:23:16.100,Android,480,Marshmallow
2016-05-12 00:08:14.300,iOS,481,7
2015-04-29 06:05:52.600,Android,482,KitKat
2016-06-28 11:28:01.200,Android,483,Marshmallow
2017-01-08 00:49:43.100,iOS,484,7
2015-04-07 09:02:09.600,Android,485,Marshmallow
2016-12-04 06:47:30.100,Android,486,KitKat
2015-11-20 05:12:53.400,Android,487,Marshmallow
2014-09-29 12:17:25.800,Android,488,Lollipop
2016-11-20 20:22:14.100,Android,489,KitKat
2016-01-31 07:08:32.400,iOS,490,7
2016-07-19 10:47:31.200,iOS,491,8
2016-04-30 12:57:52.300,iOS,492,20
2017-01-03 23:44:42.100,iOS,493,20
2016-07-23 11:03:08.200,Android,494,Lollipop
2016-12-26 23:49:48.100,iOS,495,20
2016-11-05 06:13:22.100,Amazon Fire,496,Inferno
2015-02-13 19:33:05.600,Android,497,Marshmallow
2016-07-10 18:55:00.200,Android,498,Marshmallow
2016-09-29 01:13:18.200,iOS,499,9
2015-07-05 16:54:20.500,Android,500,KitKat
2016-06-29 21:33:48.200,Android,501,Lollipop
2014-12-31 04:00:32.700,Android,502,Marshmallow
2017-01-30 09:42:45.100,Amazon Fire,503,Fire2
2017-01-25 17:53:33.100,iOS,504,9
2017-02-27 22:51:13.100,iOS,505,9
2016-10-10 07:21:47.200,Android,506,KitKat
2016-09-08 00:04:21.200,Android,507,Jawbreaker
2016-02-16 10:26:18.400,Android,508,KitKat
2016-12-04 06:02:32.100,iOS,509,20
2015-12-29 04:40:47.400,iOS,510,10
2016-07-03 11:36:57.200,Android,511,Lollipop
2016-07-18 05:28:31.200,Android,512,Lollipop
2015-10-22 17:35:17.400,iOS,513,20
2016-08-06 20:33:03.200,iOS,514,7
2016-08-02 07:00:26.200,Android,515,Marshmallow
2016-03-04 21:01:53.300,Android,516,Jawbreaker
2016-09-26 09:55:02.200,Android,517,Marshmallow
2016-10-08 02:00:39.200,iOS,518,8
2016-08-16 05:58:33.200,Amazon Fire,519,Fire1
2016-09-14 11:34:09.200,Android,520,KitKat
2016-01-21 14:43:48.400,Android,521,Jawbreaker
2016-01-24 18:22:41.400,Android,522,Marshmallow
2015-07-22 09:37:08.500,Amazon Fire,523,Inferno
2016-08-01 18:03:39.200,Android,524,Jawbreaker
2014-10-19 07:56:49.700,Android,525,Lollipop
2016-06-02 03:25:27.300,iOS,526,7
2015-07-22 22:03:36.500,iOS,527,9
2016-02-18 17:33:17.400,iOS,528,8
2015-10-03 22:51:53.500,iOS,529,7
2016-12-18 23:41:09.100,iOS,530,9
2015-12-30 13:48:55.400,Android,531,KitKat
2015-04-04 11:00:36.600,iOS,532,9
2016-03-22 10:54:28.300,iOS,533,10
2016-12-02 00:55:21.100,iOS,534,9
2017-01-17 01:18:54.100,Android,535,KitKat
2015-12-05 12:01:53.400,Android,536,Lollipop
2017-01-18 11:00:14.100,Android,537,Jawbreaker
2016-02-05 18:57:54.400,iOS,538,10
2015-03-28 02:41:11.600,iOS,539,9
2017-01-23 10:56:34.100,Android,540,KitKat
2015-10-30 16:52:54.400,iOS,541,10
2015-05-28 01:21:45.600,iOS,542,7
2015-12-27 15:44:47.400,Amazon Fire,543,Fire2
2016-03-31 06:59:03.300,Android,544,Marshmallow
2016-06-01 19:48:54.300,iOS,545,9
2016-02-19 13:04:57.400,iOS,546,10
2016-12-13 14:49:09.100,Android,547,KitKat
2016-11-04 06:35:08.100,iOS,548,9
2015-11-16 07:47:57.400,iOS,549,10
2017-01-27 22:58:27.100,Android,550,KitKat
2016-03-02 07:48:37.300,Android,551,Jawbreaker
2016-05-13 18:43:49.300,Android,552,Jawbreaker
